Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-03 00:00:00-05:00,120.24085108534545,120.49395081813365,118.96563067046635,119.67625427246094,78967600,0.0,0.0
2020-12-04 00:00:00-05:00,119.3452462973935,119.59834596601074,118.29391606792319,119.0045394897461,78260400,0.0,0.0
2020-12-07 00:00:00-05:00,119.06296307750874,121.26296762556044,119.00455830891927,120.46473693847656,86712000,0.0,0.0
2020-12-08 00:00:00-05:00,121.06825849577237,121.66206495991713,119.82223338247024,121.07798767089844,82225500,0.0,0.0
2020-12-09 00:00:00-05:00,121.22402938804677,122.60633005014087,117.787743513511,118.54703521728516,115089200,0.0,0.0
2020-12-10 00:00:00-05:00,117.30100444410381,120.58154143292921,116.96029761781081,119.96826171875,81312200,0.0,0.0
2020-12-11 00:00:00-05:00,119.17975172566112,119.50099273028479,117.3496642850928,119.16028594970703,86939800,0.0,0.0
2020-12-14 00:00:00-05:00,119.34526590931088,120.0753552286095,118.31340871462832,118.54703521728516,79184500,0.0,0.0
2020-12-15 00:00:00-05:00,121.0390623043862,124.50455773983639,120.83463820097641,124.4850845336914,157243700,0.0,0.0
2020-12-16 00:00:00-05:00,124.0275714003019,124.96207736777791,123.20013093515553,124.41694641113281,98208600,0.0,0.0
2020-12-17 00:00:00-05:00,125.47798978748065,126.1399450451197,124.64082025363582,125.2833023071289,94359800,0.0,0.0
2020-12-18 00:00:00-05:00,125.53640555307189,125.67268827051221,122.77179737031575,123.2974624633789,192541500,0.0,0.0
2020-12-21 00:00:00-05:00,121.70100182150271,124.90366074139115,120.17268202586978,124.8257827758789,121251600,0.0,0.0
2020-12-22 00:00:00-05:00,128.11610040013912,130.8417707172585,126.20812672204306,128.37893676757812,168904800,0.0,0.0
2020-12-23 00:00:00-05:00,128.65143115759162,128.91425252595747,127.30806252669929,127.48329162597656,88223700,0.0,0.0
2020-12-24 00:00:00-05:00,127.83375369258947,129.91694086606563,127.61959301416368,128.46649169921875,54930100,0.0,0.0
2020-12-28 00:00:00-05:00,130.43285473552945,133.69391042104374,129.9655870238762,133.06117248535156,124486200,0.0,0.0
2020-12-29 00:00:00-05:00,134.38507537843176,135.1054204796811,130.77356128298763,131.28948974609375,121047300,0.0,0.0
2020-12-30 00:00:00-05:00,131.98063489209892,132.37975381009915,129.8585016321147,130.17001342773438,96452100,0.0,0.0
2020-12-31 00:00:00-05:00,130.5204870277971,131.16296911492586,128.2231389904879,129.16738891601562,99116600,0.0,0.0
2021-01-04 00:00:00-05:00,129.97536179433877,130.06296894085764,123.39482183574111,125.97447204589844,143301900,0.0,0.0
2021-01-05 00:00:00-05:00,125.46826826756664,128.242613306386,125.0204736671036,127.531982421875,97664900,0.0,0.0
2021-01-06 00:00:00-05:00,124.32932099883892,127.570918733124,123.02489113823766,123.23905181884766,155088000,0.0,0.0
2021-01-07 00:00:00-05:00,124.95232359796171,128.13551641563382,124.46559750336911,127.4443588256836,109578200,0.0,0.0
2021-01-08 00:00:00-05:00,128.91428961570313,129.10899197173987,126.77269738263777,128.5443878173828,105158200,0.0,0.0
2021-01-11 00:00:00-05:00,125.76030156918269,126.71428063801753,125.08861712398671,125.55587005615234,100384500,0.0,0.0
2021-01-12 00:00:00-05:00,125.08861473418492,126.24702529391881,123.4921536305582,125.38065338134766,91951100,0.0,0.0
2021-01-13 00:00:00-05:00,125.34172565614995,127.9603149883141,125.07890420286044,127.4151840209961,88636800,0.0,0.0
2021-01-14 00:00:00-05:00,127.32757155716695,127.52225905827079,125.34172042627678,125.48774719238281,90221800,0.0,0.0
2021-01-15 00:00:00-05:00,125.36117045243897,126.76294396711677,123.62842676171266,123.76470947265625,111598500,0.0,0.0
2021-01-19 00:00:00-05:00,124.38774103736687,125.29305945365387,123.570044622059,124.43641662597656,90757300,0.0,0.0
2021-01-20 00:00:00-05:00,125.24437293876636,128.97269692470792,125.13729259464834,128.52490234375,104319500,0.0,0.0
2021-01-21 00:00:00-05:00,130.2479286583061,135.96208925479198,130.0434971272025,133.23641967773438,120150900,0.0,0.0
2021-01-22 00:00:00-05:00,132.66208095000118,136.13731286135894,131.43553637442392,135.37802124023438,114459400,0.0,0.0
2021-01-25 00:00:00-05:00,139.2718354812106,141.23819854253642,132.9151779412319,139.1258087158203,157611700,0.0,0.0
2021-01-26 00:00:00-05:00,139.78777273313094,140.46918645287846,137.6169631530498,139.3594512939453,98390600,0.0,0.0
