Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-12-03 00:00:00-05:00,341.84140681263983,343.2491298215101,340.7413458211083,341.8507385253906,62882000,0.0,0.0,0.0
2020-12-04 00:00:00-05:00,342.43804269912846,344.7966613769531,342.3448109293827,344.7966613769531,50749900,0.0,0.0,0.0
2020-12-07 00:00:00-05:00,344.02290019342604,344.58226241230454,342.81097242780953,344.0881652832031,48944300,0.0,0.0,0.0
2020-12-08 00:00:00-05:00,342.8108598784092,345.6635749627262,342.7642582297794,345.09490966796875,42458900,0.0,0.0,0.0
2020-12-09 00:00:00-05:00,345.756856938236,345.91532532686597,341.1608184625429,341.9998474121094,74098300,0.0,0.0,0.0
2020-12-10 00:00:00-05:00,340.6201414584873,342.9414618657392,339.7438139853996,341.8880310058594,57735400,0.0,0.0,0.0
2020-12-11 00:00:00-05:00,340.18202294663377,341.8973797208397,338.65312974694143,341.4871826171875,57698600,0.0,0.0,0.0
2020-12-14 00:00:00-05:00,343.66856790244054,344.7499651831089,339.7810286069299,339.9581604003906,69216200,0.0,0.0,0.0
2020-12-15 00:00:00-05:00,342.5125765211541,344.5542297363281,341.13284888921686,344.5542297363281,63865300,0.0,0.0,0.0
2020-12-16 00:00:00-05:00,344.76861277655524,346.0178385333846,343.8829538499093,345.09490966796875,58420500,0.0,0.0,0.0
2020-12-17 00:00:00-05:00,346.74511339005363,347.22987880470043,345.9153875521078,347.0247802734375,64119500,0.0,0.0,0.0
2020-12-18 00:00:00-05:00,347.31496713442135,347.48348251320584,343.61682886083776,345.63909912109375,136542300,1.58,0.0,0.0
2020-12-21 00:00:00-05:00,341.697556038171,354.3273521272948,338.94502392425824,344.40325927734375,96386700,0.0,0.0,0.0
2020-12-22 00:00:00-05:00,344.73099432258715,344.843337922766,342.6900093950238,343.8228454589844,47949000,0.0,0.0,0.0
2020-12-23 00:00:00-05:00,344.79652407596075,346.0510751813986,343.8041175511873,344.1318054199219,46201400,0.0,0.0,0.0
2020-12-24 00:00:00-05:00,344.6092630586231,345.4986974709922,344.01945918536467,345.4706115722656,26457900,0.0,0.0,0.0
